,date,bithumb,coinone,korbit,upbit,gopax
286,2014-10-09,1067572,0,0,0,0
287,2014-10-10,547438,0,0,0,0
288,2014-10-11,319353,0,0,0,0
289,2014-10-12,484374,0,0,0,0
290,2014-10-13,843711,0,0,0,0
291,2014-10-14,1121585,0,0,0,0
292,2014-10-15,773952,0,0,0,0
293,2014-10-16,807201,0,0,0,0
294,2014-10-17,416622,0,0,0,0
295,2014-10-18,505306,0,0,0,0
296,2014-10-19,356428,0,0,0,0
297,2014-10-20,497269,0,0,0,0
298,2014-10-21,484223,0,0,0,0
299,2014-10-22,326705,0,0,0,0
300,2014-10-23,788814,0,0,0,0
301,2014-10-24,531384,0,0,0,0
302,2014-10-25,469895,0,0,0,0
303,2014-10-26,380803,0,0,0,0
304,2014-10-27,475231,0,0,0,0
305,2014-10-28,415854,0,0,0,0
306,2014-10-29,762252,0,0,0,0
307,2014-10-30,669037,0,0,0,0
308,2014-10-31,412923,0,0,0,0
309,2014-11-01,453109,0,0,0,0
310,2014-11-02,297905,0,0,0,0
311,2014-11-03,433660,0,0,0,0
312,2014-11-04,511461,0,0,0,0
313,2014-11-05,693042,0,0,0,0
314,2014-11-06,503678,0,0,0,0
315,2014-11-07,712708,0,0,0,0
316,2014-11-08,361056,0,0,0,0
317,2014-11-09,579638,0,0,0,0
318,2014-11-10,917396,0,0,0,0
319,2014-11-11,526333,0,0,0,0
320,2014-11-12,2122482,0,0,0,0
321,2014-11-13,0,0,0,0,0
322,2014-11-14,1145254,0,0,0,0
323,2014-11-15,617806,0,0,0,0
324,2014-11-16,489817,0,0,0,0
325,2014-11-17,1484318,0,0,0,0
326,2014-11-18,1049761,0,0,0,0
327,2014-11-19,831290,0,0,0,0
328,2014-11-20,838708,0,0,0,0
329,2014-11-21,929364,0,0,0,0
330,2014-11-22,569366,0,0,0,0
331,2014-11-23,725516,0,0,0,0
332,2014-11-24,1279821,0,0,0,0
333,2014-11-25,1620269,0,0,0,0
334,2014-11-26,1164302,0,0,0,0
335,2014-11-27,915411,0,0,0,0
336,2014-11-28,1510434,0,0,0,0
337,2014-11-29,1255844,0,0,0,0
338,2014-11-30,740753,0,0,0,0
339,2014-12-01,1154732,0,0,0,0
340,2014-12-02,970738,0,0,0,0
341,2014-12-03,1255733,0,0,0,0
342,2014-12-04,1031555,0,0,0,0
343,2014-12-05,916770,0,0,0,0
344,2014-12-06,465197,0,0,0,0
345,2014-12-07,228853,0,0,0,0
346,2014-12-08,815930,0,0,0,0
347,2014-12-09,1569899,0,0,0,0
348,2014-12-10,505174,0,0,0,0
349,2014-12-11,1836258,0,0,0,0
350,2014-12-12,774753,0,0,0,0
351,2014-12-13,440138,0,0,0,0
352,2014-12-14,340067,0,0,0,0
353,2014-12-15,531308,0,0,0,0
354,2014-12-16,1661899,0,0,0,0
355,2014-12-17,1531002,0,0,0,0
356,2014-12-18,2077165,0,0,0,0
357,2014-12-19,1528422,0,0,0,0
358,2014-12-20,1714613,0,0,0,0
359,2014-12-21,652052,0,0,0,0
360,2014-12-22,1355844,0,0,0,0
361,2014-12-23,1431974,0,0,0,0
362,2014-12-24,836768,0,0,0,0
363,2014-12-25,1067762,0,0,0,0
364,2014-12-26,993521,0,0,0,0
365,2014-12-27,1030668,0,0,0,0
366,2014-12-28,884108,0,0,0,0
367,2014-12-29,1077739,0,0,0,0
368,2014-12-30,719580,0,0,0,0
369,2014-12-31,925804,0,0,0,0
370,2015-01-01,727261,0,0,0,0
371,2015-01-02,430698,0,0,0,0
372,2015-01-03,707888,0,0,0,0
373,2015-01-04,1043941,0,0,0,0
374,2015-01-05,1057015,0,0,0,0
375,2015-01-06,550289,0,0,0,0
376,2015-01-07,853303,0,0,0,0
377,2015-01-08,1012430,0,0,0,0
378,2015-01-09,721503,0,0,0,0
379,2015-01-10,705773,0,0,0,0
380,2015-01-11,499235,0,0,0,0
381,2015-01-12,488413,0,0,0,0
382,2015-01-13,1225638,0,0,0,0
383,2015-01-14,2039803,0,0,0,0
384,2015-01-15,2388271,0,0,0,0
385,2015-01-16,1295236,0,0,0,0
386,2015-01-17,942501,0,0,0,0
387,2015-01-18,896564,0,0,0,0
388,2015-01-19,841167,0,0,0,0
389,2015-01-20,825058,0,0,0,0
390,2015-01-21,1083674,0,0,0,0
391,2015-01-22,1245555,0,0,0,0
392,2015-01-23,828643,0,0,0,0
393,2015-01-24,873196,0,0,0,0
394,2015-01-25,1455567,0,0,0,0
395,2015-01-26,3014218,0,0,0,0
396,2015-01-27,926846,0,0,0,0
397,2015-01-28,1174430,0,0,0,0
398,2015-01-29,1107644,0,0,0,0
399,2015-01-30,795757,0,0,0,0
400,2015-01-31,567788,0,0,0,0
401,2015-02-01,740182,0,0,0,0
402,2015-02-02,1128773,0,0,0,0
403,2015-02-03,967599,0,0,0,0
404,2015-02-04,736853,0,0,0,0
405,2015-02-05,547891,0,0,0,0
406,2015-02-06,575675,0,0,0,0
407,2015-02-07,383365,0,0,0,0
408,2015-02-08,228179,0,0,0,0
409,2015-02-09,657125,0,0,0,0
410,2015-02-10,814114,0,0,0,0
411,2015-02-11,550642,0,0,0,0
412,2015-02-12,313363,0,0,0,0
413,2015-02-13,908825,0,0,0,0
414,2015-02-14,979851,0,0,0,0
415,2015-02-15,1449319,0,0,0,0
416,2015-02-16,989866,0,0,0,0
417,2015-02-17,661589,0,0,0,0
418,2015-02-18,308474,0,0,0,0
419,2015-02-19,251717,0,0,0,0
420,2015-02-20,459545,0,0,0,0
421,2015-02-21,253062,0,0,0,0
422,2015-02-22,475043,0,0,0,0
423,2015-02-23,641065,0,0,0,0
424,2015-02-24,489974,0,0,0,0
425,2015-02-25,390433,0,0,0,0
426,2015-02-26,490097,0,0,0,0
427,2015-02-27,1617611,0,0,0,0
428,2015-02-28,339295,0,0,0,0
429,2015-03-01,517616,0,0,0,0
430,2015-03-02,1129563,0,0,0,0
431,2015-03-03,1372892,0,0,0,0
432,2015-03-04,1338524,0,0,0,0
433,2015-03-05,1021709,0,0,0,0
434,2015-03-06,752148,0,0,0,0
435,2015-03-07,433935,0,0,0,0
436,2015-03-08,265531,0,0,0,0
437,2015-03-09,1457807,0,0,0,0
438,2015-03-10,1837799,0,0,0,0
439,2015-03-11,1195321,0,0,0,0
440,2015-03-12,1056239,0,0,0,0
441,2015-03-13,1109978,0,0,0,0
442,2015-03-14,982108,0,0,0,0
443,2015-03-15,421854,0,0,0,0
444,2015-03-16,1080387,0,0,0,0
445,2015-03-17,820875,0,0,0,0
446,2015-03-18,1409584,0,0,0,0
447,2015-03-19,1709389,0,0,0,0
448,2015-03-20,755723,0,0,0,0
449,2015-03-21,578019,0,0,0,0
450,2015-03-22,387422,0,0,0,0
451,2015-03-23,840491,0,0,0,0
452,2015-03-24,1149699,0,0,0,0
453,2015-03-25,1381601,0,0,0,0
454,2015-03-26,774691,0,0,0,0
455,2015-03-27,717445,0,0,0,0
456,2015-03-28,342532,0,0,0,0
457,2015-03-29,544924,0,0,0,0
458,2015-03-30,914904,0,0,0,0
459,2015-03-31,998722,0,0,0,0
460,2015-04-01,1022121,0,0,0,0
461,2015-04-02,833972,0,0,0,0
462,2015-04-03,1097939,0,0,0,0
463,2015-04-04,468145,0,0,0,0
464,2015-04-05,578987,0,0,0,0
465,2015-04-06,1100528,0,0,0,0
466,2015-04-07,820646,0,0,0,0
467,2015-04-08,1064719,0,0,0,0
468,2015-04-09,995499,0,0,0,0
469,2015-04-10,1074937,0,0,0,0
470,2015-04-11,828557,0,0,0,0
471,2015-04-12,452997,0,0,0,0
472,2015-04-13,1185028,0,0,0,0
473,2015-04-14,976270,0,0,0,0
474,2015-04-15,674126,0,0,0,0
475,2015-04-16,960790,0,0,0,0
476,2015-04-17,720014,0,0,0,0
477,2015-04-18,652170,0,0,0,0
478,2015-04-19,659481,0,0,0,0
479,2015-04-20,749747,0,0,0,0
480,2015-04-21,889363,0,0,0,0
481,2015-04-22,770327,0,0,0,0
482,2015-04-23,1078581,0,0,0,0
483,2015-04-24,581493,0,0,0,0
484,2015-04-25,558702,0,0,0,0
485,2015-04-26,859698,0,0,0,0
486,2015-04-27,1113674,0,0,0,0
487,2015-04-28,605824,0,0,0,0
488,2015-04-29,785182,0,0,0,0
489,2015-04-30,914315,0,0,0,0
490,2015-05-01,786389,0,0,0,0
491,2015-05-02,555795,0,0,0,0
492,2015-05-03,500463,0,0,0,0
493,2015-05-04,793042,0,0,0,0
494,2015-05-05,483782,0,0,0,0
495,2015-05-06,594457,0,0,0,0
496,2015-05-07,648214,0,0,0,0
497,2015-05-08,797306,0,0,0,0
498,2015-05-09,560941,0,0,0,0
499,2015-05-10,555715,0,0,0,0
500,2015-05-11,817277,0,0,0,0
501,2015-05-12,479040,0,0,0,0
502,2015-05-13,554917,0,0,0,0
503,2015-05-14,550838,0,0,0,0
504,2015-05-15,412657,0,0,0,0
505,2015-05-16,290938,0,0,0,0
506,2015-05-17,192664,0,0,0,0
507,2015-05-18,602942,0,0,0,0
508,2015-05-19,473457,0,0,0,0
509,2015-05-20,458856,0,0,0,0
510,2015-05-21,439510,0,0,0,0
511,2015-05-22,583221,0,0,0,0
512,2015-05-23,319165,0,0,0,0
513,2015-05-24,337279,0,0,0,0
514,2015-05-25,363511,0,0,0,0
515,2015-05-26,725245,0,0,0,0
516,2015-05-27,489176,0,0,0,0
517,2015-05-28,446107,0,0,0,0
518,2015-05-29,671416,0,0,0,0
519,2015-05-30,477531,0,0,0,0
520,2015-05-31,364786,0,0,0,0
521,2015-06-01,905943,0,0,0,0
522,2015-06-02,749882,0,0,0,0
523,2015-06-03,578232,0,0,0,0
524,2015-06-04,558216,0,0,0,0
525,2015-06-05,515954,0,0,0,0
526,2015-06-06,315136,0,0,0,0
527,2015-06-07,325813,0,0,0,0
528,2015-06-08,800467,0,0,0,0
529,2015-06-09,539036,0,0,0,0
530,2015-06-10,568092,0,0,0,0
531,2015-06-11,585556,0,0,0,0
532,2015-06-12,550413,0,0,0,0
533,2015-06-13,529405,0,0,0,0
534,2015-06-14,300373,0,0,0,0
535,2015-06-15,702444,0,0,0,0
536,2015-06-16,1339465,0,0,0,0
537,2015-06-17,1567301,0,0,0,0
538,2015-06-18,1260220,0,0,0,0
539,2015-06-19,619588,0,0,0,0
540,2015-06-20,560310,0,0,0,0
541,2015-06-21,281522,0,0,0,0
542,2015-06-22,637063,0,0,0,0
543,2015-06-23,649041,0,0,0,0
544,2015-06-24,568211,0,0,0,0
545,2015-06-25,585774,0,0,0,0
546,2015-06-26,617185,0,0,0,0
547,2015-06-27,662074,0,0,0,0
548,2015-06-28,511276,0,0,0,0
549,2015-06-29,940507,0,0,0,0
550,2015-06-30,1398805,0,0,0,0
551,2015-07-01,1009670,0,0,0,0
552,2015-07-02,660384,0,0,0,0
553,2015-07-03,556924,0,0,0,0
